Kod,Nazwa,l_os_na_1_miejsce_kina,boiska,zaludnienie,dochod_powiatu,miejsca_wkinach
1802000,Powiat brzozowski,228,8,122,45225299.51,288
1803000,Powiat dębicki,387,26,174,68309856.21,350
1804000,Powiat jarosławski,464,59,117,163128267.4,259
1805000,Powiat jasielski,607,18,137,177944893.5,187
1807000,Powiat krośnieński,832,33,113,57173300.38,135
1808000,Powiat leżajski,108,13,119,89740167.38,643
1811000,Powiat mielecki,102,39,155,90176607.46,1337
1812000,Powiat niżański,354,20,85,164410034.9,188
1814000,Powiat przeworski,176,18,112,60067955.54,444
1815000,Powiat ropczycko-sędziszowski,269,12,136,77751320.02,277
1817000,Powiat sanocki,277,37,82,163954567.0,341
1818000,Powiat stalowowolski,72,22,127,103949741.3,1480
1819000,Powiat strzyżowski,205,8,122,121454427.1,300
1820000,Powiat tarnobrzeski,200,13,102,80449642.8,265
1861000,Powiat m.Krosno,30,5,1064,31431246.77,1541
2002000,Powiat białostocki,1496,30,50,79061905.31,100
2004000,Powiat grajewski,160,4,49,73100211.8,295
2011000,Powiat sokólski,390,6,32,64025508.58,171
2014000,Powiat zambrowski,127,4,59,131783227.6,343
2202000,Powiat chojnicki,204,31,72,115090685.6,479
2203000,Powiat człuchowski,249,13,36,136982476.3,225
2204000,Powiat gdański,685,24,149,107092446.1,173
2206000,Powiat kościerski,286,19,62,146809862.4,254
2207000,Powiat kwidzyński,222,28,100,109449789.0,374
2208000,Powiat lęborski,144,12,93,98067748.6,458
2211000,Powiat pucki,482,38,149,46812089.71,180
2212000,Powiat słupski,408,40,43,93205962.66,242
2213000,Powiat starogardzki,130,34,95,120724180.5,989
2214000,Powiat tczewski,153,22,166,156811114.1,754
2215000,Powiat wejherowski,175,31,169,161385646.5,1247
2216000,Powiat sztumski,180,10,57,210335774.8,229
2402000,Powiat bielski,163,38,362,131174539.6,1020
2403000,Powiat cieszyński,557,42,244,149226625.6,320
2405000,Powiat gliwicki,608,41,174,117622267.9,190
2407000,Powiat lubliniecki,236,24,93,71389737.35,324
2409000,Powiat myszkowski,163,6,148,106903824.4,434
2411000,Powiat raciborski,189,41,199,120880732.2,574
2413000,Powiat tarnogórski,210,36,218,63789325.01,669
2415000,Powiat wodzisławski,242,42,548,50490208.26,650
2416000,Powiat zawierciański,195,12,117,173239649.2,603
2417000,Powiat żywiecki,623,40,147,129111659.1,245
2461000,Powiat m.Bielsko-Biała,54,12,1371,173116932.0,3136
2602000,Powiat jędrzejowski,343,24,68,105763993.0,249
2603000,Powiat kazimierski,1681,6,80,98678633.19,20
2606000,Powiat opatowski,2604,2,57,96018729.72,20
2607000,Powiat ostrowiecki,235,14,177,110646592.8,464
2609000,Powiat sandomierski,1572,4,114,55168043.89,49
2610000,Powiat skarżyski,122,6,187,83820332.02,605
2611000,Powiat starachowicki,87,8,171,109770981.2,1030
2612000,Powiat staszowski,281,6,78,108463096.1,255
2613000,Powiat włoszczowski,198,9,50,79159596.0,228
2802000,Powiat braniewski,134,7,34,86186272.94,306
2804000,Powiat elbląski,260,15,40,74723574.55,220
2805000,Powiat ełcki,100,3,82,72757273.68,920
2806000,Powiat giżycki,321,16,51,134742578.3,176
2807000,Powiat iławski,250,47,67,90207050.5,371
2808000,Powiat kętrzyński,380,7,51,120341056.0,164
2809000,Powiat lidzbarski,130,5,45,84117810.56,316
2810000,Powiat mrągowski,155,10,47,61632814.24,321
2813000,Powiat olecki,157,13,39,46189491.18,218
2814000,Powiat olsztyński,1378,51,45,58624383.04,92
2815000,Powiat ostródzki,224,35,59,153382488.5,465
2818000,Powiat gołdapski,178,3,35,83284287.88,150
3002000,Powiat czarnkowsko-trzcianecki,357,30,48,55487038.99,244
3003000,Powiat gnieźnieński,424,21,116,101106400.4,343
3004000,Powiat gostyński,169,24,94,154185450.2,448
3008000,Powiat kępiński,321,42,93,70134695.24,176
3009000,Powiat kolski,341,15,86,75947560.42,254
3012000,Powiat krotoszyński,216,24,108,89435198.89,357
3017000,Powiat ostrowski,404,28,139,62308441.01,400
3018000,Powiat ostrzeszowski,184,8,72,190003134.1,301
3019000,Powiat pilski,130,40,107,77547726.14,1049
3020000,Powiat pleszewski,412,61,88,177444280.1,153
3023000,Powiat słupecki,168,14,70,65246778.83,351
3024000,Powiat szamotulski,242,66,82,77909028.35,378
3025000,Powiat średzki,430,19,94,90115647.68,137
3026000,Powiat śremski,530,16,107,59084932.71,116
3027000,Powiat turecki,273,31,90,72227871.45,307
3028000,Powiat wągrowiecki,245,22,68,96483023.63,287
3030000,Powiat wrzesiński,406,19,111,83928068.2,192
3061000,Powiat m.Kalisz,33,3,1444,79290646.03,3034
3203000,Powiat drawski,122,21,32,65201411.96,467
3204000,Powiat goleniowski,197,15,51,92591200.37,419
3205000,Powiat gryficki,339,18,59,103222676.6,178
3206000,Powiat gryfiński,585,48,44,88895914.83,140
3207000,Powiat kamieński,149,15,47,97032003.86,316
3208000,Powiat kołobrzeski,342,23,110,57145378.27,232
3209000,Powiat koszaliński,482,24,40,109166970.5,138
3210000,Powiat myśliborski,181,28,56,108627239.0,363
3212000,Powiat pyrzycki,139,25,54,111721096.4,283
3213000,Powiat sławieński,136,22,54,51298038.74,412
3214000,Powiat stargardzki,190,51,79,66248577.35,632
3215000,Powiat szczecinecki,261,32,44,139609589.0,298
3216000,Powiat świdwiński,167,7,43,118565773.2,279
3217000,Powiat wałecki,128,22,37,73395538.54,414
3261000,Powiat m.Koszalin,79,2,1089,56273434.62,1350
