Kod;Nazwa;liczba_ludnosci_na_1_miejsce_w_kinach_stalych;boiska;gestosc_zaludnienia_na_km_2;dochody_budzetow_powiatow_2019;miejsca_na_widowni_w_kinach_stalych_2019;;;;;;;;;
611000;Powiat łukowski;1571;13;77;65904614,19;68;;;;;611000;Powiat łukowski;13;;0
612000;Powiat opolski;470;15;73;141790885,5;126;;;;;612000;Powiat opolski;15;;0
613000;Powiat parczewski;;5;36;64839961,26;;;;;;613000;Powiat parczewski;5;;0
614000;Powiat puławski;167;7;121;48409375,43;677;;;;;614000;Powiat puławski;7;;0
615000;Powiat radzyński;;10;61;144002864,4;;;;;;615000;Powiat radzyński;10;;0
616000;Powiat rycki;262;6;91;74723885,84;214;;;;;616000;Powiat rycki;6;;0
617000;Powiat świdnicki;214;10;153;93532033,36;335;;;;;617000;Powiat świdnicki;10;;0
618000;Powiat tomaszowski;246;13;56;108262083,1;337;;;;;618000;Powiat tomaszowski;13;;0
619000;Powiat włodawski;142;3;31;100510704;270;;;;;619000;Powiat włodawski;3;;0
620000;Powiat zamojski;1061;12;57;75011022,73;100;;;;;620000;Powiat zamojski;12;;0
661000;Powiat m.Biała Podlaska;65;5;1157;102002681,7;881;;;;;661000;Powiat m.Biała Podlaska;5;;0
662000;Powiat m.Chełm;166;1;1755;;372;;;;;662000;Powiat m.Chełm;1;;0
663000;Powiat m.Lublin;60;25;2304;;5627;;;;;663000;Powiat m.Lublin;25;;0
664000;Powiat m.Zamość;80;1;2091;;789;;;;;664000;Powiat m.Zamość;1;;0
801000;Powiat gorzowski;;36;59;;;;;;;801000;Powiat gorzowski;36;;0
802000;Powiat krośnieński;;29;39;75634717,41;;;;;;802000;Powiat krośnieński;29;;0
803000;Powiat międzyrzecki;116;29;41;62095444,15;495;;;;;803000;Powiat międzyrzecki;29;;0
804000;Powiat nowosolski;756;9;112;77417865,68;114;;;;;804000;Powiat nowosolski;9;;0
805000;Powiat słubicki;559;29;47;111484622,8;84;;;;;805000;Powiat słubicki;29;;0
806000;Powiat strzelecko-drezdenecki;;29;39;51852630,75;;;;;;806000;Powiat strzelecko-drezdenecki;29;;0
807000;Powiat sulęciński;;9;30;52045706,65;;;;;;807000;Powiat sulęciński;9;;0
808000;Powiat świebodziński;139;30;60;44481869,23;400;;;;;808000;Powiat świebodziński;30;;0
809000;Powiat zielonogórski;;39;56;70095702,04;;;;;;809000;Powiat zielonogórski;39;;0
810000;Powiat żagański;2193;17;70;79976860,8;36;;;;;810000;Powiat żagański;17;;0
811000;Powiat żarski;288;36;69;81212922,79;334;;;;;811000;Powiat żarski;36;;0
812000;Powiat wschowski;;10;62;116109170,3;;;;;;812000;Powiat wschowski;10;;0
861000;Powiat m.Gorzów Wielkopolski;57;3;1442;46364067,5;2172;;;;;861000;Powiat m.Gorzów Wielkopolski;3;;0
862000;Powiat m.Zielona Góra;93;6;507;;1520;;;;;862000;Powiat m.Zielona Góra;6;;0
1001000;Powiat bełchatowski;105;23;117;;1077;;;;;1001000;Powiat bełchatowski;23;;0
1002000;Powiat kutnowski;276;5;109;131981640,1;350;;;;;1002000;Powiat kutnowski;5;;0
1003000;Powiat łaski;;3;81;127751798,7;;;;;;1003000;Powiat łaski;3;;0
1004000;Powiat łęczycki;160;2;64;53407526,58;310;;;;;1004000;Powiat łęczycki;2;;0
1005000;Powiat łowicki;422;19;79;61391787,01;185;;;;;1005000;Powiat łowicki;19;;0
1006000;Powiat łódzki wschodni;399;10;144;95569039,24;181;;;;;1006000;Powiat łódzki wschodni;10;;0
1007000;Powiat opoczyński;113;16;73;66113682,61;671;;;;;1007000;Powiat opoczyński;16;;0
1008000;Powiat pabianicki;129;15;242;82278435,41;924;;;;;1008000;Powiat pabianicki;15;;0
1009000;Powiat pajęczański;2049;15;64;117335510,3;25;;;;;1009000;Powiat pajęczański;15;;0
1010000;Powiat piotrkowski;;28;64;52073821,57;;;;;;1010000;Powiat piotrkowski;28;;0
1011000;Powiat poddębicki;;8;47;88080027,01;;;;;;1011000;Powiat poddębicki;8;;0
1012000;Powiat radomszczański;185;33;78;46077297;610;;;;;1012000;Powiat radomszczański;33;;0
1013000;Powiat rawski;162;8;75;119825985,2;300;;;;;1013000;Powiat rawski;8;;0
1014000;Powiat sieradzki;367;29;79;73571266,04;321;;;;;1014000;Powiat sieradzki;29;;0
1015000;Powiat skierniewicki;;8;51;146775239,4;;;;;;1015000;Powiat skierniewicki;8;;0
1016000;Powiat tomaszowski;116;12;114;28998646,16;1004;;;;;1016000;Powiat tomaszowski;12;;0
1017000;Powiat wieluński;;27;82;131294235,9;;;;;;1017000;Powiat wieluński;27;;0
1018000;Powiat wieruszowski;421;15;73;100635261,5;100;;;;;1018000;Powiat wieruszowski;15;;0
1019000;Powiat zduńskowolski;211;6;180;46685661,34;314;;;;;1019000;Powiat zduńskowolski;6;;0
1020000;Powiat zgierski;;19;194;112297801;;;;;;1020000;Powiat zgierski;19;;0
1021000;Powiat brzeziński;;8;86;149181471,9;;;;;;1021000;Powiat brzeziński;8;;0
1061000;Powiat m.Łódź;100;34;2319;36541920,46;6815;;;;;1061000;Powiat m.Łódź;34;;0
1062000;Powiat m.Piotrków Trybunalski;68;3;1087;;1069;;;;;1062000;Powiat m.Piotrków Trybunalski;3;;0
1063000;Powiat m.Skierniewice;101;8;1390;;476;;;;;1063000;Powiat m.Skierniewice;8;;0
1201000;Powiat bocheński;594;31;165;;180;;;;;1201000;Powiat bocheński;31;;0
1202000;Powiat brzeski;661;27;158;120992100,6;141;;;;;1202000;Powiat brzeski;27;;0
1203000;Powiat chrzanowski;157;28;336;96178495,57;792;;;;;1203000;Powiat chrzanowski;28;;0
1204000;Powiat dąbrowski;377;21;112;118477243,4;157;;;;;1204000;Powiat dąbrowski;21;;0
1205000;Powiat gorlicki;495;21;113;60723387,36;220;;;;;1205000;Powiat gorlicki;21;;0
1206000;Powiat krakowski;4654;95;227;128818685,7;60;;;;;1206000;Powiat krakowski;95;;0
1207000;Powiat limanowski;1550;25;139;247684667,5;85;;;;;1207000;Powiat limanowski;25;;0
1208000;Powiat miechowski;220;18;72;162496250,7;222;;;;;1208000;Powiat miechowski;18;;0
1209000;Powiat myślenicki;326;42;190;73457051,69;392;;;;;1209000;Powiat myślenicki;42;;0
1210000;Powiat nowosądecki;834;58;140;129355515,9;260;;;;;1210000;Powiat nowosądecki;58;;0
1211000;Powiat nowotarski;1135;39;130;165765460,2;169;;;;;1211000;Powiat nowotarski;39;;0
1212000;Powiat olkuski;153;15;180;207897050,3;728;;;;;1212000;Powiat olkuski;15;;0
1213000;Powiat oświęcimski;79;52;378;128005952,2;1937;;;;;1213000;Powiat oświęcimski;52;;0
1214000;Powiat proszowicki;;11;104;191344973,6;;;;;;1214000;Powiat proszowicki;11;;0
1215000;Powiat suski;;19;123;49950416,6;;;;;;1215000;Powiat suski;19;;0
1216000;Powiat tarnowski;1072;48;143;114911307,3;188;;;;;1216000;Powiat tarnowski;48;;0
1217000;Powiat tatrzański;93;3;144;156066244,9;732;;;;;1217000;Powiat tatrzański;3;;0
1218000;Powiat wadowicki;434;44;248;72868500,53;369;;;;;1218000;Powiat wadowicki;44;;0
1219000;Powiat wielicki;380;21;314;168920639,7;340;;;;;1219000;Powiat wielicki;21;;0
1261000;Powiat m.Kraków;54;78;2384;105570776,3;14443;;;;;1261000;Powiat m.Kraków;78;;0
1262000;Powiat m.Nowy Sącz;46;9;1455;;1814;;;;;1262000;Powiat m.Nowy Sącz;9;;0
1263000;Powiat m.Tarnów;62;8;1499;;1758;;;;;1263000;Powiat m.Tarnów;8;;0
1401000;Powiat białobrzeski;;3;52;;;;;;;1401000;Powiat białobrzeski;3;;0
1402000;Powiat ciechanowski;196;5;84;41002806,49;456;;;;;1402000;Powiat ciechanowski;5;;0
1403000;Powiat garwoliński;389;15;85;110764009,9;280;;;;;1403000;Powiat garwoliński;15;;0
1404000;Powiat gostyniński;115;5;73;126622309,4;390;;;;;1404000;Powiat gostyniński;5;;0
1405000;Powiat grodziski;211;10;261;64366530,61;455;;;;;1405000;Powiat grodziski;10;;0
1406000;Powiat grójecki;352;11;78;113109066,1;279;;;;;1406000;Powiat grójecki;11;;0
1407000;Powiat kozienicki;123;5;65;126444869,3;486;;;;;1407000;Powiat kozienicki;5;;0
1408000;Powiat legionowski;192;11;303;62083945,2;619;;;;;1408000;Powiat legionowski;11;;0
1409000;Powiat lipski;1694;2;46;115749429,8;20;;;;;1409000;Powiat lipski;2;;0
1410000;Powiat łosicki;769;2;40;54919525,84;40;;;;;1410000;Powiat łosicki;2;;0
1411000;Powiat makowski;208;5;42;40003993,76;216;;;;;1411000;Powiat makowski;5;;0
1412000;Powiat miński;1066;18;133;64104928,85;145;;;;;1412000;Powiat miński;18;;0
1413000;Powiat mławski;252;17;61;166773180,1;288;;;;;1413000;Powiat mławski;17;;0
1414000;Powiat nowodworski;475;4;114;87831884,64;167;;;;;1414000;Powiat nowodworski;4;;0
1415000;Powiat ostrołęcki;;13;42;69349567,98;;;;;;1415000;Powiat ostrołęcki;13;;0
1416000;Powiat ostrowski;482;11;59;109169100,3;150;;;;;1416000;Powiat ostrowski;11;;0
1417000;Powiat otwocki;347;20;202;88848226,53;358;;;;;1417000;Powiat otwocki;20;;0
1418000;Powiat piaseczyński;1141;21;303;153315639,3;165;;;;;1418000;Powiat piaseczyński;21;;0
1419000;Powiat płocki;;10;62;286222926,3;;;;;;1419000;Powiat płocki;10;;0
1420000;Powiat płoński;265;12;63;127562949,6;328;;;;;1420000;Powiat płoński;12;;0
1421000;Powiat pruszkowski;55;10;674;122077889,3;3016;;;;;1421000;Powiat pruszkowski;10;;0
1422000;Powiat przasnyski;;4;43;181146054,5;;;;;;1422000;Powiat przasnyski;4;;0
1423000;Powiat przysuski;;16;52;101449220,1;;;;;;1423000;Powiat przysuski;16;;0
1424000;Powiat pułtuski;234;1;63;81419813,44;221;;;;;1424000;Powiat pułtuski;1;;0
1425000;Powiat radomski;433;21;100;90374684,47;352;;;;;1425000;Powiat radomski;21;;0
1426000;Powiat siedlecki;;17;51;189508018;;;;;;1426000;Powiat siedlecki;17;;0
1427000;Powiat sierpecki;174;6;61;73305238,54;298;;;;;1427000;Powiat sierpecki;6;;0
1428000;Powiat sochaczewski;290;10;116;70799848,34;293;;;;;1428000;Powiat sochaczewski;10;;0
1429000;Powiat sokołowski;144;6;48;94028695,55;374;;;;;1429000;Powiat sokołowski;6;;0
1430000;Powiat szydłowiecki;;8;88;78069236,09;;;;;;1430000;Powiat szydłowiecki;8;;0
1432000;Powiat warszawski zachodni;456;14;222;54830884,04;260;;;;;1432000;Powiat warszawski zachodni;14;;0
1433000;Powiat węgrowski;166;11;54;170948839,1;396;;;;;1433000;Powiat węgrowski;11;;0
1434000;Powiat wołomiński;233;15;261;86997552,98;1071;;;;;1434000;Powiat wołomiński;15;;0
1435000;Powiat wyszkowski;1349;12;85;244503216,4;55;;;;;1435000;Powiat wyszkowski;12;;0
1436000;Powiat zwoleński;188;3;63;114597729,4;192;;;;;1436000;Powiat zwoleński;3;;0
1437000;Powiat żuromiński;242;4;48;41057592,46;159;;;;;1437000;Powiat żuromiński;4;;0
1438000;Powiat żyrardowski;135;5;142;52941123,18;562;;;;;1438000;Powiat żyrardowski;5;;0
1461000;Powiat m.Ostrołęka;103;2;1556;89761383,14;505;;;;;1461000;Powiat m.Ostrołęka;2;;0
1462000;Powiat m.Płock;71;2;1356;;1676;;;;;1462000;Powiat m.Płock;2;;0
1463000;Powiat m.Radom;90;2;1891;;2355;;;;;1463000;Powiat m.Radom;2;;0
1464000;Powiat m.Siedlce;40;3;2454;;1938;;;;;1464000;Powiat m.Siedlce;3;;0
1465000;Powiat m. st. Warszawa;53;60;3462;;34059;;;;;1465000;Powiat m. st. Warszawa;60;;0
1601000;Powiat brzeski;510;29;103;;176;;;;;1601000;Powiat brzeski;29;;0
1602000;Powiat głubczycki;;29;68;101332405,9;;;;;;1602000;Powiat głubczycki;29;;0
1603000;Powiat kędzierzyńsko-kozielski;72;27;150;76302783,42;1303;;;;;1603000;Powiat kędzierzyńsko-kozielski;27;;0
1604000;Powiat kluczborski;;31;77;107940246,7;;;;;;1604000;Powiat kluczborski;31;;0
1605000;Powiat krapkowicki;217;28;144;79193402,2;294;;;;;1605000;Powiat krapkowicki;28;;0
1606000;Powiat namysłowski;;21;57;52372279,84;;;;;;1606000;Powiat namysłowski;21;;0
1607000;Powiat nyski;225;57;111;51832737,08;604;;;;;1607000;Powiat nyski;57;;0
1608000;Powiat oleski;;23;66;158144731,8;;;;;;1608000;Powiat oleski;23;;0
1609000;Powiat opolski;;76;81;78954538,67;;;;;;1609000;Powiat opolski;76;;0
1610000;Powiat prudnicki;267;27;97;89113959,65;207;;;;;1610000;Powiat prudnicki;27;;0
1611000;Powiat strzelecki;;34;100;58948886,77;;;;;;1611000;Powiat strzelecki;34;;0
1661000;Powiat m.Opole;88;8;860;81873752,82;1447;;;;;1661000;Powiat m.Opole;8;;0
1801000;Powiat bieszczadzki;115;3;19;;189;;;;;1801000;Powiat bieszczadzki;3;;0
1802000;Powiat brzozowski;228;8;122;45225299,51;288;;;;;1802000;Powiat brzozowski;8;;0
1803000;Powiat dębicki;387;26;174;68309856,21;350;;;;;1803000;Powiat dębicki;26;;0
1804000;Powiat jarosławski;464;59;117;163128267,4;259;;;;;1804000;Powiat jarosławski;59;;0
1805000;Powiat jasielski;607;18;137;177944893,5;187;;;;;1805000;Powiat jasielski;18;;0
1806000;Powiat kolbuszowski;;13;81;138055876,8;;;;;;1806000;Powiat kolbuszowski;13;;0
1807000;Powiat krośnieński;832;33;113;57173300,38;135;;;;;1807000;Powiat krośnieński;33;;0
1808000;Powiat leżajski;108;13;119;89740167,38;643;;;;;1808000;Powiat leżajski;13;;0
1809000;Powiat lubaczowski;;16;42;108689689,3;;;;;;1809000;Powiat lubaczowski;16;;0
1810000;Powiat łańcucki;;29;179;84441586,6;;;;;;1810000;Powiat łańcucki;29;;0
1811000;Powiat mielecki;102;39;155;90176607,46;1337;;;;;1811000;Powiat mielecki;39;;0
1812000;Powiat niżański;354;20;85;164410034,9;188;;;;;1812000;Powiat niżański;20;;0
1813000;Powiat przemyski;;32;61;79669692,29;;;;;;1813000;Powiat przemyski;32;;0
1814000;Powiat przeworski;176;18;112;60067955,54;444;;;;;1814000;Powiat przeworski;18;;0
1815000;Powiat ropczycko-sędziszowski;269;12;136;77751320,02;277;;;;;1815000;Powiat ropczycko-sędziszowski;12;;0
1816000;Powiat rzeszowski;;48;148;98122216,28;;;;;;1816000;Powiat rzeszowski;48;;0
1817000;Powiat sanocki;277;37;82;163954567;341;;;;;1817000;Powiat sanocki;37;;0
1818000;Powiat stalowowolski;72;22;127;103949741,3;1480;;;;;1818000;Powiat stalowowolski;22;;0
1819000;Powiat strzyżowski;205;8;122;121454427,1;300;;;;;1819000;Powiat strzyżowski;8;;0
1820000;Powiat tarnobrzeski;200;13;102;80449642,8;265;;;;;1820000;Powiat tarnobrzeski;13;;0
1821000;Powiat leski;;10;32;49340965,67;;;;;;1821000;Powiat leski;10;;0
1861000;Powiat m.Krosno;30;5;1064;31431246,77;1541;;;;;1861000;Powiat m.Krosno;5;;0
1862000;Powiat m.Przemyśl;67;;1314;;902;;;;;;;;;
1863000;Powiat m.Rzeszów;44;10;1550;;4489;;;;;1863000;Powiat m.Rzeszów;10;;0
1864000;Powiat m.Tarnobrzeg;147;9;547;;319;;;;;1864000;Powiat m.Tarnobrzeg;9;;0
2001000;Powiat augustowski;346;7;35;;168;;;;;2001000;Powiat augustowski;7;;0
2002000;Powiat białostocki;1496;30;50;79061905,31;100;;;;;2002000;Powiat białostocki;30;;0
2003000;Powiat bielski;;6;39;172136679,8;;;;;;2003000;Powiat bielski;6;;0
2004000;Powiat grajewski;160;4;49;73100211,8;295;;;;;2004000;Powiat grajewski;4;;0
2005000;Powiat hajnowski;;9;26;67559247,95;;;;;;2005000;Powiat hajnowski;9;;0
2006000;Powiat kolneński;;3;40;55365796,93;;;;;;2006000;Powiat kolneński;3;;0
2007000;Powiat łomżyński;;9;38;41265945,36;;;;;;2007000;Powiat łomżyński;9;;0
2008000;Powiat moniecki;;10;29;53134545,76;;;;;;2008000;Powiat moniecki;10;;0
2009000;Powiat sejneński;;;23;53915040,85;;;;;;;;;;
2010000;Powiat siemiatycki;;7;30;32375521,05;;;;;;2010000;Powiat siemiatycki;7;;0
2011000;Powiat sokólski;390;6;32;64025508,58;171;;;;;2011000;Powiat sokólski;6;;0
2012000;Powiat suwalski;;5;27;98934690,23;;;;;;2012000;Powiat suwalski;5;;0
2013000;Powiat wysokomazowiecki;;9;44;40362683,2;;;;;;2013000;Powiat wysokomazowiecki;9;;0
2014000;Powiat zambrowski;127;4;59;131783227,6;343;;;;;2014000;Powiat zambrowski;4;;0
2061000;Powiat m.Białystok;69;9;2913;59485098,9;4328;;;;;2061000;Powiat m.Białystok;9;;0
2062000;Powiat m.Łomża;185;4;1927;;340;;;;;2062000;Powiat m.Łomża;4;;0
2063000;Powiat m.Suwałki;116;4;1065;;601;;;;;2063000;Powiat m.Suwałki;4;;0
